Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. ДЕВНЯ,ВАРНА,43.2191351,27.5559747,34,10,12,3,5,6,6,9,6,7,8,10,16,15,24,20,23,12,14
гр. ДЖЕБЕЛ,КЪРДЖАЛИ,41.4970825,25.3043984,3,1,1,2,1,2,1,1,1,5,2,3,7,7,12,6,6,3,3
гр. ДИМИТРОВГРАД,ХАСКОВО,42.0602715,25.5933344,307,109,60,31,54,52,47,38,49,102,74,60,62,159,127,94,68,66,54
гр. ДИМОВО,ВИДИН,43.741477,22.7271977,1,1,0,0,0,1,2,0,0,2,1,0,1,2,4,6,3,0,1
гр. ДОБРИНИЩЕ,БЛАГОЕВГРАД,41.8209,23.5625,1,1,0,0,1,0,1,0,2,0,0,2,1,7,16,11,8,10,4
гр. ДОБРИЧ,ДОБРИЧ,43.5690224,27.8272424,873,349,235,161,119,112,175,151,174,379,257,264,309,618,496,351,253,269,231
гр. ДОЛНА БАНЯ,СОФИЯ-ОБЛАСТ,42.31116,23.76572,15,8,3,3,1,0,2,4,5,2,8,3,1,10,14,7,6,5,3
гр. ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН,43.4681347,24.5197473,11,5,2,2,3,1,2,2,3,5,3,2,1,7,7,4,9,10,7
гр. ДОЛНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО,43.1564296,25.739354,14,7,2,2,0,0,0,1,3,1,1,2,1,3,7,4,1,2,2
гр. ДОЛНИ ДЪБНИК,ПЛЕВЕН,43.4088095,24.442632,8,13,3,4,2,2,1,4,2,4,3,3,1,10,11,10,6,7,7
гр. ДОЛНИ ЧИФЛИК,ВАРНА,42.9929709,27.7189255,19,6,6,1,4,2,3,4,10,15,8,8,6,13,16,13,6,7,4
гр. ДОСПАТ,СМОЛЯН,41.6439569,24.1591125,16,6,3,1,1,3,4,3,7,9,12,9,9,6,16,11,12,12,5
гр. ДРАГОМАН,СОФИЯ-ОБЛАСТ,42.9220358,22.9300625,13,4,9,1,0,3,2,1,3,4,3,3,2,8,10,7,9,5,7
гр. ДРЯНОВО,ГАБРОВО,42.9748502,25.4735863,33,10,9,3,2,4,5,5,11,15,17,9,9,25,29,22,10,12,15
гр. ДУЛОВО,СИЛИСТРА,43.8226708,27.1396801,57,17,12,2,8,6,8,4,7,14,11,12,10,38,29,14,12,13,21
гр. ДУНАВЦИ,ВИДИН,43.9128669,22.813248,5,3,0,0,1,1,1,0,1,0,1,2,1,2,2,3,1,1,0
гр. ДУПНИЦА,КЮСТЕНДИЛ,42.2637355,23.1111217,144,50,33,22,31,40,36,33,63,82,57,54,69,162,139,102,83,70,65
гр. ДЪЛГОПОЛ,ВАРНА,43.0497381,27.3442806,92,9,16,4,2,5,1,2,2,2,3,6,2,4,4,6,5,10,6
гр. ЕЛЕНА,ВЕЛИКО ТЪРНОВО,42.9297222,25.8774772,36,7,8,4,3,6,2,7,7,14,9,10,6,18,11,20,27,13,8
гр. ЕЛИН ПЕЛИН,СОФИЯ-ОБЛАСТ,42.664,23.599,39,22,14,10,8,9,7,6,13,25,13,17,20,44,26,28,23,14,14
гр. ЕЛХОВО,ЯМБОЛ,42.1750296,26.5735603,45,13,13,4,5,5,7,9,13,18,10,12,16,24,24,20,23,14,18
